freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
238.0,42.017,1.61e-11,9.13e-11,7.37e-06,4.17e-05,0.0,0.0,7.37e-06,4.17e-05,0.000701,1.0
240.0,41.667,5.16e-11,2.97e-10,7.45e-06,4.29e-05,0.0,0.0,7.45e-06,4.29e-05,0.000716,0.99999
242.0,41.322,9.55e-11,5.6e-10,7.53e-06,4.41e-05,0.0,0.0,7.53e-06,4.41e-05,0.000731,0.99999
244.0,40.984,5.55e-11,3.31e-10,7.61e-06,4.53e-05,0.0,0.0,7.62e-06,4.53e-05,0.000746,0.99999
246.0,40.65,1.86e-11,1.13e-10,7.7e-06,4.66e-05,0.0,0.0,7.7e-06,4.66e-05,0.000761,1.0
248.0,40.323,1.28e-11,7.86e-11,7.78e-06,4.78e-05,0.0,0.0,7.78e-06,4.78e-05,0.000777,1.0
250.0,40.0,1.7e-11,1.06e-10,7.86e-06,4.91e-05,0.0,0.0,7.86e-06,4.91e-05,0.000793,1.0
252.0,39.683,3.32e-11,2.11e-10,7.94e-06,5.04e-05,0.0,0.0,7.94e-06,5.04e-05,0.000809,1.0
254.0,39.37,3.47e-11,2.24e-10,8.02e-06,5.17e-05,0.0,0.0,8.02e-06,5.17e-05,0.000825,1.0
256.0,39.063,1.96e-11,1.28e-10,8.1e-06,5.31e-05,0.0,0.0,8.1e-06,5.31e-05,0.000841,1.0
258.0,38.76,1.6e-11,1.06e-10,8.18e-06,5.44e-05,0.0,0.0,8.18e-06,5.44e-05,0.000857,1.0
260.0,38.462,1.74e-11,1.17e-10,8.26e-06,5.58e-05,0.0,0.0,8.26e-06,5.58e-05,0.000874,1.0
262.0,38.168,2.16e-11,1.48e-10,8.34e-06,5.72e-05,0.0,0.0,8.34e-06,5.72e-05,0.00089,1.0
264.0,37.879,2.68e-11,1.87e-10,8.42e-06,5.87e-05,0.0,0.0,8.42e-06,5.87e-05,0.000907,1.0
266.0,37.594,2.36e-11,1.67e-10,8.49e-06,6.01e-05,0.0,0.0,8.49e-06,6.01e-05,0.000924,1.0
268.0,37.313,2.08e-11,1.49e-10,8.57e-06,6.16e-05,0.0,0.0,8.57e-06,6.16e-05,0.000941,1.0
