freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
2.0,4999.998,9.66e-10,3.86e-13,2.21e-10,8.83e-14,0.0,0.0,1.19e-09,4.75e-13,1.19e-09,0.2188
4.0,2500.0,3.47e-09,5.55e-12,4.93e-10,7.89e-13,0.0,0.0,3.96e-09,6.34e-12,9.12e-09,0.13703
6.0,1666.666,8.13e-09,2.93e-11,3.56e-10,1.28e-12,0.0,0.0,8.49e-09,3.05e-11,2.61e-08,0.05515
8.0,1250.0,1.45e-08,9.31e-11,2.08e-10,1.33e-12,0.0,0.0,1.48e-08,9.44e-11,5.56e-08,0.01506
10.0,1000.0,2.22e-08,2.22e-10,6.71e-11,6.71e-13,0.0,0.0,2.23e-08,2.23e-10,1e-07,0.00395
12.0,833.333,3.05e-08,4.39e-10,8.29e-13,1.19e-14,0.0,0.0,3.05e-08,4.39e-10,1.61e-07,3e-05
14.0,714.286,4e-08,7.84e-10,1.12e-16,2.19e-18,0.0,0.0,4e-08,7.84e-10,2.41e-07,0.0
16.0,625.0,5.09e-08,1.3e-09,6.41e-21,1.64e-22,0.0,0.0,5.09e-08,1.3e-09,3.43e-07,0.0
18.0,555.555,6.12e-08,1.98e-09,2.27e-19,7.35e-21,0.0,0.0,6.12e-08,1.98e-09,4.65e-07,0.0
20.0,500.0,7.64e-08,3.06e-09,2.27e-19,9.07e-21,0.0,0.0,7.64e-08,3.06e-09,6.18e-07,0.0
22.0,454.545,9.55e-08,4.62e-09,5.84e-33,2.83e-34,0.0,0.0,9.55e-08,4.62e-09,8.09e-07,0.0
24.0,416.667,1.09e-07,6.25e-09,3.4e-30,1.96e-31,0.0,0.0,1.09e-07,6.25e-09,1.03e-06,0.0
26.0,384.615,1.25e-07,8.46e-09,3.4e-30,2.3e-31,0.0,0.0,1.25e-07,8.46e-09,1.28e-06,0.0
28.0,357.143,1.5e-07,1.18e-08,1.19e-38,9.32e-40,0.0,0.0,1.5e-07,1.18e-08,1.58e-06,0.0
30.0,333.333,1.7e-07,1.53e-08,6.67e-39,6e-40,0.0,0.0,1.7e-07,1.53e-08,1.92e-06,0.0
32.0,312.5,1.85e-07,1.89e-08,0.0,0.0,0.0,0.0,1.85e-07,1.89e-08,2.29e-06,0.0
34.0,294.118,2.05e-07,2.37e-08,0.0,0.0,0.0,0.0,2.05e-07,2.37e-08,2.7e-06,0.0
36.0,277.778,2.19e-07,2.84e-08,0.0,0.0,0.0,0.0,2.19e-07,2.84e-08,3.14e-06,0.0
38.0,263.158,2.32e-07,3.35e-08,0.0,0.0,0.0,0.0,2.32e-07,3.35e-08,3.6e-06,0.0
40.0,250.0,2.61e-07,4.18e-08,0.0,0.0,0.0,0.0,2.61e-07,4.18e-08,4.12e-06,0.0
42.0,238.095,3.03e-07,5.35e-08,0.0,0.0,0.0,0.0,3.03e-07,5.35e-08,4.73e-06,0.0
44.0,227.273,3.39e-07,6.57e-08,0.0,0.0,0.0,0.0,3.39e-07,6.57e-08,5.41e-06,0.0
46.0,217.391,3.59e-07,7.6e-08,0.0,0.0,0.0,0.0,3.59e-07,7.6e-08,6.13e-06,0.0
48.0,208.333,3.85e-07,8.86e-08,0.0,0.0,0.0,0.0,3.85e-07,8.86e-08,6.9e-06,0.0
50.0,200.0,4.26e-07,1.06e-07,0.0,0.0,0.0,0.0,4.26e-07,1.06e-07,7.75e-06,0.0
52.0,192.308,4.47e-07,1.21e-07,0.0,0.0,0.0,0.0,4.47e-07,1.21e-07,8.64e-06,0.0
54.0,185.185,4.52e-07,1.32e-07,0.0,0.0,0.0,0.0,4.52e-07,1.32e-07,9.55e-06,0.0
56.0,178.571,4.62e-07,1.45e-07,0.0,0.0,0.0,0.0,4.62e-07,1.45e-07,1.05e-05,0.0
58.0,172.414,5.05e-07,1.7e-07,0.0,0.0,0.0,0.0,5.05e-07,1.7e-07,1.15e-05,0.0
60.0,166.667,5.55e-07,2e-07,0.0,0.0,0.0,0.0,5.55e-07,2e-07,1.26e-05,0.0
62.0,161.29,5.9e-07,2.27e-07,0.0,0.0,0.0,0.0,5.9e-07,2.27e-07,1.38e-05,0.0
64.0,156.25,6.27e-07,2.57e-07,0.0,0.0,0.0,0.0,6.27e-07,2.57e-07,1.5e-05,0.0
66.0,151.515,6.83e-07,2.98e-07,0.0,0.0,0.0,0.0,6.83e-07,2.98e-07,1.64e-05,0.0
68.0,147.059,7.07e-07,3.27e-07,0.0,0.0,0.0,0.0,7.07e-07,3.27e-07,1.78e-05,0.0
70.0,142.857,7.38e-07,3.62e-07,0.0,0.0,0.0,0.0,7.38e-07,3.62e-07,1.93e-05,0.0
72.0,138.889,7.45e-07,3.86e-07,0.0,0.0,0.0,0.0,7.45e-07,3.86e-07,2.08e-05,0.0
74.0,135.135,7.69e-07,4.21e-07,0.0,0.0,0.0,0.0,7.69e-07,4.21e-07,2.23e-05,0.0
76.0,131.579,8.27e-07,4.78e-07,0.0,0.0,0.0,0.0,8.27e-07,4.78e-07,2.4e-05,0.0
78.0,128.205,8.67e-07,5.27e-07,0.0,0.0,0.0,0.0,8.67e-07,5.27e-07,2.57e-05,0.0
80.0,125.0,8.93e-07,5.71e-07,0.0,0.0,0.0,0.0,8.93e-07,5.71e-07,2.75e-05,0.0
82.0,121.951,9.52e-07,6.4e-07,0.0,0.0,0.0,0.0,9.52e-07,6.4e-07,2.94e-05,0.0
84.0,119.048,1.03e-06,7.27e-07,0.0,0.0,0.0,0.0,1.03e-06,7.27e-07,3.14e-05,0.0
86.0,116.279,1.05e-06,7.79e-07,0.0,0.0,0.0,0.0,1.05e-06,7.79e-07,3.36e-05,0.0
88.0,113.636,1.03e-06,7.97e-07,0.0,0.0,0.0,0.0,1.03e-06,7.97e-07,3.56e-05,0.0
90.0,111.111,1.09e-06,8.8e-07,0.0,0.0,0.0,0.0,1.09e-06,8.8e-07,3.78e-05,0.0
92.0,108.696,1.12e-06,9.51e-07,0.0,0.0,0.0,0.0,1.12e-06,9.51e-07,4e-05,0.0
94.0,106.383,1.18e-06,1.04e-06,0.0,0.0,0.0,0.0,1.18e-06,1.04e-06,4.24e-05,0.0
96.0,104.167,1.24e-06,1.15e-06,0.0,0.0,0.0,0.0,1.24e-06,1.15e-06,4.49e-05,0.0
98.0,102.041,1.26e-06,1.21e-06,0.0,0.0,0.0,0.0,1.26e-06,1.21e-06,4.74e-05,0.0
100.0,100.0,1.25e-06,1.25e-06,0.0,0.0,0.0,0.0,1.25e-06,1.25e-06,4.99e-05,0.0
102.0,98.039,1.33e-06,1.39e-06,0.0,0.0,0.0,0.0,1.33e-06,1.39e-06,5.26e-05,0.0
104.0,96.154,1.38e-06,1.49e-06,0.0,0.0,0.0,0.0,1.38e-06,1.49e-06,5.53e-05,0.0
106.0,94.34,1.41e-06,1.58e-06,0.0,0.0,0.0,0.0,1.41e-06,1.58e-06,5.81e-05,0.0
108.0,92.593,1.53e-06,1.79e-06,0.0,0.0,0.0,0.0,1.53e-06,1.79e-06,6.12e-05,0.0
110.0,90.909,1.57e-06,1.9e-06,0.0,0.0,0.0,0.0,1.57e-06,1.9e-06,6.43e-05,0.0
112.0,89.286,1.62e-06,2.04e-06,0.0,0.0,0.0,0.0,1.62e-06,2.04e-06,6.76e-05,0.0
