freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
2.0,4999.998,9.93e-10,3.97e-13,1.95e-10,7.79e-14,0.0,0.0,1.19e-09,4.75e-13,1.19e-09,0.19941
4.0,2500.0,3.54e-09,5.67e-12,4.14e-10,6.62e-13,0.0,0.0,3.96e-09,6.33e-12,9.1e-09,0.11711
6.0,1666.666,8.19e-09,2.95e-11,2.75e-10,9.9e-13,0.0,0.0,8.46e-09,3.05e-11,2.6e-08,0.0438
8.0,1250.0,1.46e-08,9.33e-11,1.46e-10,9.32e-13,0.0,0.0,1.47e-08,9.42e-11,5.55e-08,0.0106
10.0,1000.0,2.21e-08,2.21e-10,4.55e-11,4.55e-13,0.0,0.0,2.22e-08,2.22e-10,9.98e-08,0.0027
12.0,833.333,3.04e-08,4.38e-10,3.43e-13,4.93e-15,0.0,0.0,3.04e-08,4.38e-10,1.61e-07,1e-05
14.0,714.286,3.99e-08,7.82e-10,2.75e-17,5.38e-19,0.0,0.0,3.99e-08,7.82e-10,2.41e-07,0.0
16.0,625.0,5.08e-08,1.3e-09,4.71e-22,1.21e-23,0.0,0.0,5.08e-08,1.3e-09,3.42e-07,0.0
18.0,555.555,6.12e-08,1.98e-09,3.61e-20,1.17e-21,0.0,0.0,6.12e-08,1.98e-09,4.64e-07,0.0
20.0,500.0,7.63e-08,3.05e-09,3.61e-20,1.45e-21,0.0,0.0,7.63e-08,3.05e-09,6.17e-07,0.0
22.0,454.545,9.53e-08,4.61e-09,1.77e-35,8.54e-37,0.0,0.0,9.53e-08,4.61e-09,8.08e-07,0.0
24.0,416.667,1.08e-07,6.25e-09,3.09e-32,1.78e-33,0.0,0.0,1.08e-07,6.25e-09,1.02e-06,0.0
26.0,384.615,1.25e-07,8.46e-09,3.09e-32,2.09e-33,0.0,0.0,1.25e-07,8.46e-09,1.27e-06,0.0
28.0,357.143,1.5e-07,1.18e-08,7.95e-42,6.24e-43,0.0,0.0,1.5e-07,1.18e-08,1.58e-06,0.0
30.0,333.333,1.7e-07,1.53e-08,4.48e-42,4.04e-43,0.0,0.0,1.7e-07,1.53e-08,1.92e-06,0.0
32.0,312.5,1.84e-07,1.89e-08,0.0,0.0,0.0,0.0,1.84e-07,1.89e-08,2.28e-06,0.0
34.0,294.118,2.05e-07,2.37e-08,0.0,0.0,0.0,0.0,2.05e-07,2.37e-08,2.69e-06,0.0
36.0,277.778,2.2e-07,2.85e-08,0.0,0.0,0.0,0.0,2.2e-07,2.85e-08,3.13e-06,0.0
38.0,263.158,2.34e-07,3.38e-08,0.0,0.0,0.0,0.0,2.34e-07,3.38e-08,3.6e-06,0.0
40.0,250.0,2.63e-07,4.2e-08,0.0,0.0,0.0,0.0,2.63e-07,4.2e-08,4.13e-06,0.0
42.0,238.095,3.03e-07,5.35e-08,0.0,0.0,0.0,0.0,3.03e-07,5.35e-08,4.73e-06,0.0
44.0,227.273,3.39e-07,6.56e-08,0.0,0.0,0.0,0.0,3.39e-07,6.56e-08,5.41e-06,0.0
46.0,217.391,3.59e-07,7.61e-08,0.0,0.0,0.0,0.0,3.59e-07,7.61e-08,6.13e-06,0.0
48.0,208.333,3.85e-07,8.87e-08,0.0,0.0,0.0,0.0,3.85e-07,8.87e-08,6.9e-06,0.0
50.0,200.0,4.25e-07,1.06e-07,0.0,0.0,0.0,0.0,4.25e-07,1.06e-07,7.75e-06,0.0
52.0,192.308,4.47e-07,1.21e-07,0.0,0.0,0.0,0.0,4.47e-07,1.21e-07,8.64e-06,0.0
54.0,185.185,4.55e-07,1.33e-07,0.0,0.0,0.0,0.0,4.55e-07,1.33e-07,9.55e-06,0.0
56.0,178.571,4.68e-07,1.47e-07,0.0,0.0,0.0,0.0,4.68e-07,1.47e-07,1.05e-05,0.0
58.0,172.414,5.09e-07,1.71e-07,0.0,0.0,0.0,0.0,5.09e-07,1.71e-07,1.15e-05,0.0
60.0,166.667,5.57e-07,2.01e-07,0.0,0.0,0.0,0.0,5.57e-07,2.01e-07,1.26e-05,0.0
62.0,161.29,5.92e-07,2.28e-07,0.0,0.0,0.0,0.0,5.92e-07,2.28e-07,1.38e-05,0.0
64.0,156.25,6.29e-07,2.58e-07,0.0,0.0,0.0,0.0,6.29e-07,2.58e-07,1.51e-05,0.0
66.0,151.515,6.83e-07,2.98e-07,0.0,0.0,0.0,0.0,6.83e-07,2.98e-07,1.64e-05,0.0
68.0,147.059,7.08e-07,3.27e-07,0.0,0.0,0.0,0.0,7.08e-07,3.27e-07,1.78e-05,0.0
70.0,142.857,7.4e-07,3.63e-07,0.0,0.0,0.0,0.0,7.4e-07,3.63e-07,1.93e-05,0.0
72.0,138.889,7.52e-07,3.9e-07,0.0,0.0,0.0,0.0,7.52e-07,3.9e-07,2.08e-05,0.0
74.0,135.135,7.76e-07,4.25e-07,0.0,0.0,0.0,0.0,7.76e-07,4.25e-07,2.24e-05,0.0
76.0,131.579,8.31e-07,4.8e-07,0.0,0.0,0.0,0.0,8.31e-07,4.8e-07,2.4e-05,0.0
78.0,128.205,8.71e-07,5.3e-07,0.0,0.0,0.0,0.0,8.71e-07,5.3e-07,2.58e-05,0.0
80.0,125.0,8.99e-07,5.76e-07,0.0,0.0,0.0,0.0,8.99e-07,5.76e-07,2.76e-05,0.0
82.0,121.951,9.56e-07,6.43e-07,0.0,0.0,0.0,0.0,9.56e-07,6.43e-07,2.95e-05,0.0
84.0,119.048,1.03e-06,7.26e-07,0.0,0.0,0.0,0.0,1.03e-06,7.26e-07,3.16e-05,0.0
86.0,116.279,1.06e-06,7.8e-07,0.0,0.0,0.0,0.0,1.06e-06,7.8e-07,3.37e-05,0.0
88.0,113.636,1.04e-06,8.08e-07,0.0,0.0,0.0,0.0,1.04e-06,8.08e-07,3.58e-05,0.0
90.0,111.111,1.09e-06,8.84e-07,0.0,0.0,0.0,0.0,1.09e-06,8.84e-07,3.79e-05,0.0
92.0,108.696,1.13e-06,9.56e-07,0.0,0.0,0.0,0.0,1.13e-06,9.56e-07,4.02e-05,0.0
94.0,106.383,1.19e-06,1.05e-06,0.0,0.0,0.0,0.0,1.19e-06,1.05e-06,4.26e-05,0.0
96.0,104.167,1.25e-06,1.15e-06,0.0,0.0,0.0,0.0,1.25e-06,1.15e-06,4.51e-05,0.0
98.0,102.041,1.27e-06,1.22e-06,0.0,0.0,0.0,0.0,1.27e-06,1.22e-06,4.76e-05,0.0
100.0,100.0,1.27e-06,1.27e-06,0.0,0.0,0.0,0.0,1.27e-06,1.27e-06,5.01e-05,0.0
102.0,98.039,1.34e-06,1.4e-06,0.0,0.0,0.0,0.0,1.34e-06,1.4e-06,5.28e-05,0.0
104.0,96.154,1.39e-06,1.5e-06,0.0,0.0,0.0,0.0,1.39e-06,1.5e-06,5.56e-05,0.0
106.0,94.34,1.43e-06,1.6e-06,0.0,0.0,0.0,0.0,1.43e-06,1.6e-06,5.85e-05,0.0
108.0,92.593,1.54e-06,1.79e-06,0.0,0.0,0.0,0.0,1.54e-06,1.79e-06,6.15e-05,0.0
110.0,90.909,1.58e-06,1.91e-06,0.0,0.0,0.0,0.0,1.58e-06,1.91e-06,6.47e-05,0.0
112.0,89.286,1.63e-06,2.04e-06,0.0,0.0,0.0,0.0,1.63e-06,2.04e-06,6.79e-05,0.0
114.0,87.719,1.75e-06,2.28e-06,0.0,0.0,0.0,0.0,1.75e-06,2.28e-06,7.14e-05,0.0
116.0,86.207,1.79e-06,2.41e-06,0.0,0.0,0.0,0.0,1.79e-06,2.41e-06,7.5e-05,0.0
118.0,84.746,1.78e-06,2.47e-06,0.0,0.0,0.0,0.0,1.78e-06,2.47e-06,7.86e-05,0.0
120.0,83.333,1.75e-06,2.52e-06,0.0,0.0,0.0,0.0,1.75e-06,2.52e-06,8.21e-05,0.0
122.0,81.967,1.78e-06,2.64e-06,0.0,0.0,0.0,0.0,1.78e-06,2.64e-06,8.56e-05,0.0
124.0,80.645,1.89e-06,2.9e-06,0.0,0.0,0.0,0.0,1.89e-06,2.9e-06,8.94e-05,0.0
