i,z,p,t,cntmfrn,hno3,aerosol_1,aerosol_2,aerosol_3,aerosol_4,aer1*rh,cirrus,rh
1.0,0.0,1013.0,299.7,4.305e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.87
2.0,1.0,904.0,293.7,2.695e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.94
3.0,2.0,805.0,287.7,1.758e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.16
4.0,3.0,715.0,283.7,8.036e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.78
5.0,4.0,633.0,277.0,3.422e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.44
6.0,5.0,559.0,270.3,2.113e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4
7.0,6.0,492.0,263.6,1.082e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.36
8.0,7.0,432.0,257.0,5.385e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.39
9.0,8.0,378.0,250.3,2.576e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.63
10.0,9.0,329.0,243.6,1.106e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75
11.0,10.0,286.0,237.0,4.12e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.65
12.0,11.0,247.0,230.1,1.246e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.204
13.0,12.0,213.0,223.6,3.901e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.477
14.0,13.0,182.0,217.0,1.031e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.117
15.0,14.0,156.0,210.3,5.065e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.187
16.0,15.0,132.0,203.7,2.486e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.946
17.0,16.0,111.0,197.0,1.41e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74
18.0,17.0,93.7,194.8,9.93e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.47
19.0,18.0,78.9,198.8,6.411e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.825
20.0,19.0,66.6,202.7,4.154e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.626
21.0,20.0,56.5,206.7,2.875e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.273
22.0,21.0,48.0,210.7,2.035e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6452
23.0,22.0,40.9,214.6,1.505e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3523
24.0,23.0,35.0,217.0,1.116e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2319
25.0,24.0,30.0,219.2,8871000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1681
26.0,25.0,25.7,221.4,6481000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1127
27.0,30.0,12.2,232.3,1633000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01972
28.0,35.0,6.0,243.1,414700000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003808
29.0,40.0,3.05,254.0,111000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008214
30.0,45.0,1.59,264.8,30410000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001944
31.0,50.0,0.854,270.2,8870000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.286e-05
32.0,70.0,0.058,218.9,46750000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004737
33.0,100.0,0.0,190.7,136000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.108e-05
