freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
818.0,12.225,4.13e-06,0.000277,8.33e-06,0.000557,0.0,0.0,1.25e-05,0.000834,0.00659,0.6489
820.0,12.195,4.02e-06,0.00027,8.42e-06,0.000566,0.0,0.0,1.24e-05,0.000837,0.00662,0.65757
822.0,12.165,4.02e-06,0.000272,8.39e-06,0.000567,0.0,0.0,1.24e-05,0.000838,0.00664,0.65648
824.0,12.136,4.4e-06,0.000299,7.87e-06,0.000534,0.0,0.0,1.23e-05,0.000833,0.00667,0.61754
826.0,12.107,5.17e-06,0.000353,6.91e-06,0.000471,0.0,0.0,1.21e-05,0.000824,0.00669,0.54319
828.0,12.077,5.52e-06,0.000378,6.43e-06,0.000441,0.0,0.0,1.2e-05,0.000819,0.00671,0.50717
830.0,12.048,4.27e-06,0.000294,7.92e-06,0.000546,0.0,0.0,1.22e-05,0.00084,0.00674,0.62663
832.0,12.019,3.78e-06,0.000262,8.49e-06,0.000587,0.0,0.0,1.23e-05,0.000849,0.00676,0.67263
834.0,11.99,3.88e-06,0.00027,8.34e-06,0.00058,0.0,0.0,1.22e-05,0.00085,0.00679,0.66269
836.0,11.962,4.13e-06,0.000289,8.01e-06,0.00056,0.0,0.0,1.21e-05,0.000849,0.00681,0.63864
838.0,11.933,4.38e-06,0.000308,7.65e-06,0.000537,0.0,0.0,1.2e-05,0.000845,0.00683,0.61124
840.0,11.905,5.28e-06,0.000372,6.49e-06,0.000458,0.0,0.0,1.18e-05,0.00083,0.00686,0.51988
842.0,11.876,4.52e-06,0.000321,7.39e-06,0.000524,0.0,0.0,1.19e-05,0.000845,0.00688,0.59396
844.0,11.848,3.69e-06,0.000263,8.37e-06,0.000596,0.0,0.0,1.21e-05,0.000859,0.00691,0.67399
846.0,11.82,3.57e-06,0.000256,8.48e-06,0.000607,0.0,0.0,1.21e-05,0.000863,0.00693,0.68483
848.0,11.792,3.99e-06,0.000287,7.92e-06,0.00057,0.0,0.0,1.19e-05,0.000857,0.00695,0.6411
850.0,11.765,5.24e-06,0.000378,6.27e-06,0.000453,0.0,0.0,1.15e-05,0.000831,0.00698,0.50878
852.0,11.737,6.39e-06,0.000464,4.75e-06,0.000345,0.0,0.0,1.11e-05,0.000809,0.007,0.38679
854.0,11.71,5.89e-06,0.00043,5.44e-06,0.000397,0.0,0.0,1.13e-05,0.000826,0.00702,0.4442
856.0,11.682,4.3e-06,0.000315,7.39e-06,0.000541,0.0,0.0,1.17e-05,0.000856,0.00705,0.60484
858.0,11.655,3.53e-06,0.00026,8.31e-06,0.000612,0.0,0.0,1.18e-05,0.000872,0.00707,0.6819
860.0,11.628,3.56e-06,0.000263,8.24e-06,0.00061,0.0,0.0,1.18e-05,0.000873,0.00709,0.67855
862.0,11.601,3.29e-06,0.000244,8.52e-06,0.000633,0.0,0.0,1.18e-05,0.000877,0.00712,0.70316
864.0,11.574,3.91e-06,0.000292,7.72e-06,0.000577,0.0,0.0,1.16e-05,0.000868,0.00714,0.63911
866.0,11.547,3.94e-06,0.000295,7.65e-06,0.000574,0.0,0.0,1.16e-05,0.000869,0.00716,0.63526
868.0,11.521,3.17e-06,0.000239,8.54e-06,0.000643,0.0,0.0,1.17e-05,0.000883,0.00719,0.71078
870.0,11.494,3.68e-06,0.000278,7.85e-06,0.000594,0.0,0.0,1.15e-05,0.000873,0.00721,0.65541
872.0,11.468,3.73e-06,0.000283,7.76e-06,0.00059,0.0,0.0,1.15e-05,0.000874,0.00723,0.64988
874.0,11.442,3.1e-06,0.000236,8.52e-06,0.000651,0.0,0.0,1.16e-05,0.000887,0.00726,0.71538
876.0,11.416,3.09e-06,0.000237,8.5e-06,0.000652,0.0,0.0,1.16e-05,0.000889,0.00728,0.71523
878.0,11.39,3.58e-06,0.000276,7.86e-06,0.000606,0.0,0.0,1.14e-05,0.000882,0.0073,0.66334
880.0,11.364,3.7e-06,0.000286,7.67e-06,0.000594,0.0,0.0,1.14e-05,0.00088,0.00732,0.64973
882.0,11.338,3.6e-06,0.00028,7.76e-06,0.000604,0.0,0.0,1.14e-05,0.000884,0.00735,0.65906
884.0,11.312,3.83e-06,0.0003,7.43e-06,0.000581,0.0,0.0,1.13e-05,0.00088,0.00737,0.63305
886.0,11.287,3.79e-06,0.000297,7.4e-06,0.000581,0.0,0.0,1.12e-05,0.000878,0.00739,0.63206
888.0,11.261,4.03e-06,0.000318,7.09e-06,0.000559,0.0,0.0,1.11e-05,0.000877,0.00741,0.60733
890.0,11.236,3.68e-06,0.000292,7.53e-06,0.000596,0.0,0.0,1.12e-05,0.000888,0.00744,0.64714
892.0,11.211,3.06e-06,0.000244,8.22e-06,0.000654,0.0,0.0,1.13e-05,0.000898,0.00746,0.7087
894.0,11.186,2.74e-06,0.000219,8.57e-06,0.000685,0.0,0.0,1.13e-05,0.000903,0.00748,0.74067
896.0,11.161,2.84e-06,0.000228,8.41e-06,0.000675,0.0,0.0,1.13e-05,0.000903,0.0075,0.72942
898.0,11.136,2.92e-06,0.000236,8.28e-06,0.000667,0.0,0.0,1.12e-05,0.000903,0.00753,0.71997
900.0,11.111,2.7e-06,0.000219,8.49e-06,0.000688,0.0,0.0,1.12e-05,0.000907,0.00755,0.74118
902.0,11.086,2.63e-06,0.000214,8.54e-06,0.000694,0.0,0.0,1.12e-05,0.000909,0.00757,0.74708
904.0,11.062,2.78e-06,0.000227,8.32e-06,0.00068,0.0,0.0,1.11e-05,0.000908,0.00759,0.73065
906.0,11.038,3.16e-06,0.00026,7.84e-06,0.000644,0.0,0.0,1.1e-05,0.000903,0.00762,0.69054
908.0,11.013,3.7e-06,0.000305,7.11e-06,0.000586,0.0,0.0,1.08e-05,0.000892,0.00764,0.62802
910.0,10.989,3.52e-06,0.000291,7.29e-06,0.000604,0.0,0.0,1.08e-05,0.000895,0.00766,0.64622
912.0,10.965,2.76e-06,0.00023,8.2e-06,0.000682,0.0,0.0,1.1e-05,0.000912,0.00768,0.72936
914.0,10.941,2.8e-06,0.000234,8.12e-06,0.000678,0.0,0.0,1.09e-05,0.000912,0.0077,0.72427
916.0,10.917,2.68e-06,0.000225,8.22e-06,0.000689,0.0,0.0,1.09e-05,0.000915,0.00772,0.73499
918.0,10.893,2.79e-06,0.000235,8.06e-06,0.000679,0.0,0.0,1.08e-05,0.000914,0.00775,0.72303
920.0,10.87,2.98e-06,0.000252,7.77e-06,0.000658,0.0,0.0,1.08e-05,0.00091,0.00777,0.69986
922.0,10.846,3.47e-06,0.000295,7.13e-06,0.000606,0.0,0.0,1.06e-05,0.000901,0.00779,0.64378
924.0,10.823,3.3e-06,0.000282,7.29e-06,0.000622,0.0,0.0,1.06e-05,0.000904,0.00781,0.66019
926.0,10.799,2.89e-06,0.000248,7.74e-06,0.000664,0.0,0.0,1.06e-05,0.000912,0.00783,0.70383
928.0,10.776,2.49e-06,0.000214,8.22e-06,0.000708,0.0,0.0,1.07e-05,0.000922,0.00785,0.74989
930.0,10.753,2.46e-06,0.000212,8.22e-06,0.000711,0.0,0.0,1.07e-05,0.000924,0.00787,0.75229
932.0,10.73,2.3e-06,0.0002,8.36e-06,0.000727,0.0,0.0,1.07e-05,0.000926,0.0079,0.76778
934.0,10.707,2.25e-06,0.000196,8.38e-06,0.000731,0.0,0.0,1.06e-05,0.000928,0.00792,0.77222
936.0,10.684,2.25e-06,0.000197,8.35e-06,0.000731,0.0,0.0,1.06e-05,0.000928,0.00794,0.77113
938.0,10.661,2.23e-06,0.000196,8.33e-06,0.000733,0.0,0.0,1.06e-05,0.000929,0.00796,0.77223
940.0,10.638,2.33e-06,0.000206,8.18e-06,0.000722,0.0,0.0,1.05e-05,0.000928,0.00798,0.76052
942.0,10.616,2.32e-06,0.000206,8.15e-06,0.000723,0.0,0.0,1.05e-05,0.000929,0.008,0.76052
944.0,10.593,2.35e-06,0.000209,8.09e-06,0.000721,0.0,0.0,1.04e-05,0.00093,0.00802,0.75714
946.0,10.571,2.61e-06,0.000234,7.71e-06,0.00069,0.0,0.0,1.03e-05,0.000923,0.00804,0.72384
948.0,10.549,2.97e-06,0.000267,7.19e-06,0.000646,0.0,0.0,1.02e-05,0.000913,0.00806,0.67803
950.0,10.526,2.37e-06,0.000213,7.92e-06,0.000715,0.0,0.0,1.03e-05,0.000928,0.00808,0.74923
952.0,10.504,2.32e-06,0.000211,7.95e-06,0.000721,0.0,0.0,1.03e-05,0.000931,0.0081,0.75454
954.0,10.482,2.69e-06,0.000245,7.47e-06,0.00068,0.0,0.0,1.02e-05,0.000925,0.00812,0.7115
956.0,10.46,2.49e-06,0.000227,7.68e-06,0.000702,0.0,0.0,1.02e-05,0.000929,0.00814,0.73391
958.0,10.438,2.21e-06,0.000203,7.97e-06,0.000732,0.0,0.0,1.02e-05,0.000935,0.00816,0.76467
960.0,10.417,2.3e-06,0.000212,7.84e-06,0.000722,0.0,0.0,1.01e-05,0.000934,0.00819,0.75434
962.0,10.395,2.04e-06,0.000188,8.11e-06,0.00075,0.0,0.0,1.01e-05,0.000939,0.00821,0.78278
964.0,10.373,1.93e-06,0.00018,8.19e-06,0.000761,0.0,0.0,1.01e-05,0.00094,0.00823,0.79327
966.0,10.352,2.18e-06,0.000204,7.86e-06,0.000733,0.0,0.0,1e-05,0.000937,0.00825,0.76384
968.0,10.331,2.07e-06,0.000194,7.95e-06,0.000745,0.0,0.0,1e-05,0.000939,0.00827,0.77608
970.0,10.309,2.23e-06,0.00021,7.72e-06,0.000727,0.0,0.0,9.95e-06,0.000936,0.00829,0.75601
972.0,10.288,2.7e-06,0.000255,7.13e-06,0.000674,0.0,0.0,9.83e-06,0.000928,0.00831,0.7005
974.0,10.267,2.6e-06,0.000246,7.2e-06,0.000683,0.0,0.0,9.8e-06,0.000929,0.00833,0.71002
976.0,10.246,2.59e-06,0.000247,7.16e-06,0.000682,0.0,0.0,9.76e-06,0.000929,0.00834,0.70882
978.0,10.225,2.13e-06,0.000204,7.68e-06,0.000735,0.0,0.0,9.81e-06,0.000939,0.00836,0.76294
980.0,10.204,1.76e-06,0.000169,8.09e-06,0.000777,0.0,0.0,9.85e-06,0.000946,0.00838,0.80615
982.0,10.183,1.79e-06,0.000173,8.01e-06,0.000773,0.0,0.0,9.8e-06,0.000945,0.0084,0.80139
984.0,10.163,1.82e-06,0.000176,7.94e-06,0.000769,0.0,0.0,9.76e-06,0.000945,0.00842,0.79736
986.0,10.142,1.66e-06,0.000162,8.09e-06,0.000786,0.0,0.0,9.75e-06,0.000948,0.00844,0.81474
988.0,10.121,1.6e-06,0.000157,8.12e-06,0.000793,0.0,0.0,9.72e-06,0.000949,0.00846,0.82079
990.0,10.101,1.63e-06,0.00016,8.05e-06,0.000789,0.0,0.0,9.68e-06,0.000949,0.00848,0.81721
992.0,10.081,1.57e-06,0.000155,8.08e-06,0.000796,0.0,0.0,9.65e-06,0.00095,0.0085,0.82322
994.0,10.06,1.57e-06,0.000155,8.05e-06,0.000795,0.0,0.0,9.62e-06,0.00095,0.00852,0.82283
996.0,10.04,1.55e-06,0.000154,8.03e-06,0.000797,0.0,0.0,9.58e-06,0.000951,0.00854,0.82382
998.0,10.02,1.85e-06,0.000184,7.65e-06,0.000762,0.0,0.0,9.5e-06,0.000946,0.00856,0.78735
1000.0,10.0,2.07e-06,0.000207,7.35e-06,0.000735,0.0,0.0,9.42e-06,0.000942,0.00858,0.7594
1002.0,9.98,1.75e-06,0.000175,7.69e-06,0.000772,0.0,0.0,9.44e-06,0.000947,0.0086,0.79767
1004.0,9.96,1.8e-06,0.000181,7.59e-06,0.000765,0.0,0.0,9.39e-06,0.000946,0.00861,0.79008
1006.0,9.94,1.61e-06,0.000163,7.78e-06,0.000787,0.0,0.0,9.39e-06,0.00095,0.00863,0.81272
1008.0,9.921,1.66e-06,0.000168,7.68e-06,0.000781,0.0,0.0,9.34e-06,0.000949,0.00865,0.80581
1010.0,9.901,2.27e-06,0.000231,6.91e-06,0.000705,0.0,0.0,9.18e-06,0.000936,0.00867,0.72769
1012.0,9.881,2.22e-06,0.000228,6.92e-06,0.000709,0.0,0.0,9.14e-06,0.000936,0.00869,0.73112
1014.0,9.862,2.27e-06,0.000234,6.79e-06,0.000699,0.0,0.0,9.07e-06,0.000932,0.00871,0.72051
1016.0,9.843,2.11e-06,0.000218,6.99e-06,0.000721,0.0,0.0,9.09e-06,0.000939,0.00872,0.7437
1018.0,9.823,2.16e-06,0.000224,6.89e-06,0.000714,0.0,0.0,9.05e-06,0.000938,0.00874,0.73594
1020.0,9.804,1.62e-06,0.000169,7.5e-06,0.00078,0.0,0.0,9.12e-06,0.000949,0.00876,0.80439
1022.0,9.785,1.39e-06,0.000145,7.74e-06,0.000809,0.0,0.0,9.13e-06,0.000954,0.00878,0.83361
1024.0,9.766,1.29e-06,0.000135,7.83e-06,0.000821,0.0,0.0,9.11e-06,0.000955,0.0088,0.84587
1026.0,9.747,1.45e-06,0.000153,7.59e-06,0.000799,0.0,0.0,9.04e-06,0.000951,0.00882,0.8233
1028.0,9.728,2.35e-06,0.000249,6.45e-06,0.000682,0.0,0.0,8.81e-06,0.000931,0.00883,0.70255
1030.0,9.709,2.39e-06,0.000253,6.39e-06,0.000678,0.0,0.0,8.78e-06,0.000932,0.00885,0.69923
1032.0,9.69,1.68e-06,0.000179,7.22e-06,0.000769,0.0,0.0,8.9e-06,0.000948,0.00887,0.7925
1034.0,9.671,1.3e-06,0.000139,7.63e-06,0.000816,0.0,0.0,8.93e-06,0.000955,0.00889,0.84061
1036.0,9.653,1.21e-06,0.00013,7.7e-06,0.000826,0.0,0.0,8.91e-06,0.000956,0.0089,0.85139
1038.0,9.634,1.57e-06,0.000169,7.24e-06,0.00078,0.0,0.0,8.81e-06,0.000949,0.00892,0.80373
