i,z,p,t,cntmfrn,hno3,aerosol_1,aerosol_2,aerosol_3,aerosol_4,aer1*rh,cirrus,rh
1.0,0.0,1013.0,299.7,7.868e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.19
2.0,1.0,904.0,293.7,4.946e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.61
3.0,2.0,805.0,287.7,3.235e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.87
4.0,3.0,715.0,283.7,1.485e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.73
5.0,4.0,633.0,277.0,6.337e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.38
6.0,5.0,559.0,270.3,3.916e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.03
7.0,6.0,492.0,263.6,2.006e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.23
8.0,7.0,432.0,257.0,9.993e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.58
9.0,8.0,378.0,250.3,4.782e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.31
10.0,9.0,329.0,243.6,2.053e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.96
11.0,10.0,286.0,237.0,7.651e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36
12.0,11.0,247.0,230.1,2.314e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.09
13.0,12.0,213.0,223.6,7.245e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.03
14.0,13.0,182.0,217.0,1.914e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.645
15.0,14.0,156.0,210.3,9.407e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.633
16.0,15.0,132.0,203.7,4.616e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9
17.0,16.0,111.0,197.0,2.618e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8
18.0,17.0,93.7,194.8,1.844e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.01
19.0,18.0,78.9,198.8,1.191e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.82
20.0,19.0,66.6,202.7,7.714e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.878
21.0,20.0,56.5,206.7,5.339e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.364
22.0,21.0,48.0,210.7,3.78e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.198
23.0,22.0,40.9,214.6,2.795e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6543
24.0,23.0,35.0,217.0,2.073e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4307
25.0,24.0,30.0,219.2,1.647e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3122
26.0,25.0,25.7,221.4,1.204e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2094
27.0,30.0,12.2,232.3,3032000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03662
28.0,35.0,6.0,243.1,770200000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007073
29.0,40.0,3.05,254.0,206100000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001525
30.0,45.0,1.59,264.8,56480000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000361
31.0,50.0,0.854,270.2,16470000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001353
32.0,70.0,0.058,218.9,86830000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008797
33.0,100.0,0.0,190.7,252500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.057e-05
