freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
2.0,4999.998,1.03e-09,4.13e-13,1.53e-10,6.12e-14,0.0,0.0,1.18e-09,4.74e-13,1.18e-09,0.16689
4.0,2500.0,3.65e-09,5.84e-12,2.95e-10,4.72e-13,0.0,0.0,3.94e-09,6.31e-12,9.07e-09,0.0866
6.0,1666.666,8.25e-09,2.97e-11,1.67e-10,6.01e-13,0.0,0.0,8.42e-09,3.03e-11,2.59e-08,0.02802
8.0,1250.0,1.46e-08,9.32e-11,7.24e-11,4.63e-13,0.0,0.0,1.46e-08,9.37e-11,5.52e-08,0.0053
10.0,1000.0,2.2e-08,2.2e-10,2.16e-11,2.16e-13,0.0,0.0,2.21e-08,2.21e-10,9.93e-08,0.0013
12.0,833.333,3.03e-08,4.36e-10,5.72e-14,8.24e-16,0.0,0.0,3.03e-08,4.36e-10,1.6e-07,0.0
14.0,714.286,3.97e-08,7.78e-10,1.82e-18,3.57e-20,0.0,0.0,3.97e-08,7.78e-10,2.39e-07,0.0
16.0,625.0,5.05e-08,1.29e-09,2.51e-24,6.42e-26,0.0,0.0,5.05e-08,1.29e-09,3.4e-07,0.0
18.0,555.555,6.08e-08,1.97e-09,8.8e-22,2.85e-23,0.0,0.0,6.08e-08,1.97e-09,4.62e-07,0.0
20.0,500.0,7.59e-08,3.04e-09,8.8e-22,3.52e-23,0.0,0.0,7.59e-08,3.04e-09,6.14e-07,0.0
22.0,454.545,9.47e-08,4.59e-09,1.4e-40,6.8e-42,0.0,0.0,9.47e-08,4.59e-09,8.03e-07,0.0
24.0,416.667,1.08e-07,6.21e-09,2.14e-36,1.23e-37,0.0,0.0,1.08e-07,6.21e-09,1.02e-06,0.0
26.0,384.615,1.25e-07,8.42e-09,2.14e-36,1.45e-37,0.0,0.0,1.25e-07,8.42e-09,1.27e-06,0.0
28.0,357.143,1.49e-07,1.17e-08,0.0,0.0,0.0,0.0,1.49e-07,1.17e-08,1.57e-06,0.0
30.0,333.333,1.69e-07,1.52e-08,0.0,0.0,0.0,0.0,1.69e-07,1.52e-08,1.91e-06,0.0
32.0,312.5,1.84e-07,1.88e-08,0.0,0.0,0.0,0.0,1.84e-07,1.88e-08,2.27e-06,0.0
34.0,294.118,2.04e-07,2.36e-08,0.0,0.0,0.0,0.0,2.04e-07,2.36e-08,2.68e-06,0.0
36.0,277.778,2.19e-07,2.84e-08,0.0,0.0,0.0,0.0,2.19e-07,2.84e-08,3.12e-06,0.0
38.0,263.158,2.33e-07,3.36e-08,0.0,0.0,0.0,0.0,2.33e-07,3.36e-08,3.58e-06,0.0
40.0,250.0,2.61e-07,4.18e-08,0.0,0.0,0.0,0.0,2.61e-07,4.18e-08,4.11e-06,0.0
42.0,238.095,3.01e-07,5.32e-08,0.0,0.0,0.0,0.0,3.01e-07,5.32e-08,4.71e-06,0.0
44.0,227.273,3.37e-07,6.52e-08,0.0,0.0,0.0,0.0,3.37e-07,6.52e-08,5.38e-06,0.0
46.0,217.391,3.58e-07,7.57e-08,0.0,0.0,0.0,0.0,3.58e-07,7.57e-08,6.1e-06,0.0
48.0,208.333,3.83e-07,8.82e-08,0.0,0.0,0.0,0.0,3.83e-07,8.82e-08,6.86e-06,0.0
50.0,200.0,4.23e-07,1.06e-07,0.0,0.0,0.0,0.0,4.23e-07,1.06e-07,7.71e-06,0.0
52.0,192.308,4.45e-07,1.2e-07,0.0,0.0,0.0,0.0,4.45e-07,1.2e-07,8.6e-06,0.0
54.0,185.185,4.52e-07,1.32e-07,0.0,0.0,0.0,0.0,4.52e-07,1.32e-07,9.5e-06,0.0
56.0,178.571,4.66e-07,1.46e-07,0.0,0.0,0.0,0.0,4.66e-07,1.46e-07,1.04e-05,0.0
58.0,172.414,5.07e-07,1.7e-07,0.0,0.0,0.0,0.0,5.07e-07,1.7e-07,1.15e-05,0.0
