freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
2.0,4999.998,9.7e-10,3.88e-13,2.2e-10,8.81e-14,0.0,0.0,1.19e-09,4.76e-13,1.19e-09,0.21844
4.0,2500.0,3.47e-09,5.56e-12,4.92e-10,7.87e-13,0.0,0.0,3.97e-09,6.34e-12,9.12e-09,0.13668
6.0,1666.666,8.13e-09,2.93e-11,3.55e-10,1.28e-12,0.0,0.0,8.48e-09,3.05e-11,2.61e-08,0.05503
8.0,1250.0,1.45e-08,9.31e-11,2.07e-10,1.32e-12,0.0,0.0,1.47e-08,9.44e-11,5.56e-08,0.015
10.0,1000.0,2.22e-08,2.22e-10,6.68e-11,6.68e-13,0.0,0.0,2.22e-08,2.22e-10,1e-07,0.00393
12.0,833.333,3.05e-08,4.39e-10,8.25e-13,1.19e-14,0.0,0.0,3.05e-08,4.39e-10,1.61e-07,3e-05
14.0,714.286,4e-08,7.83e-10,1.1e-16,2.17e-18,0.0,0.0,4e-08,7.83e-10,2.41e-07,0.0
16.0,625.0,5.08e-08,1.3e-09,6.33e-21,1.62e-22,0.0,0.0,5.08e-08,1.3e-09,3.43e-07,0.0
18.0,555.555,6.13e-08,1.98e-09,2.23e-19,7.23e-21,0.0,0.0,6.13e-08,1.98e-09,4.65e-07,0.0
20.0,500.0,7.64e-08,3.05e-09,2.23e-19,8.92e-21,0.0,0.0,7.64e-08,3.05e-09,6.18e-07,0.0
22.0,454.545,9.52e-08,4.61e-09,5.54e-33,2.68e-34,0.0,0.0,9.52e-08,4.61e-09,8.08e-07,0.0
24.0,416.667,1.09e-07,6.25e-09,3.33e-30,1.92e-31,0.0,0.0,1.09e-07,6.25e-09,1.03e-06,0.0
26.0,384.615,1.25e-07,8.46e-09,3.33e-30,2.25e-31,0.0,0.0,1.25e-07,8.46e-09,1.28e-06,0.0
28.0,357.143,1.5e-07,1.18e-08,1.13e-38,8.82e-40,0.0,0.0,1.5e-07,1.18e-08,1.58e-06,0.0
