i,z,p,t,h2o,o3,co2,co,ch4,n2o,o2,nh3,no,no2,so2
1.0,0.0,1013.0,299.7,17.1,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
2.0,1.0,904.0,293.7,11.7,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
3.0,2.0,805.0,287.7,8.36,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
4.0,3.0,715.0,283.7,4.22,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
5.0,4.0,633.0,277.0,1.98,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
6.0,5.0,559.0,270.3,1.35,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
7.0,6.0,492.0,263.6,0.764,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
8.0,7.0,432.0,257.0,0.422,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
9.0,8.0,378.0,250.3,0.225,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
10.0,9.0,329.0,243.6,0.108,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
11.0,10.0,286.0,237.0,0.045,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
12.0,11.0,247.0,230.1,0.0153,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
13.0,12.0,213.0,223.6,0.00539,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
14.0,13.0,182.0,217.0,0.00162,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
15.0,14.0,156.0,210.3,0.000899,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
16.0,15.0,132.0,203.7,0.000505,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
17.0,16.0,111.0,197.0,0.000329,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
18.0,17.0,93.7,194.8,0.000272,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
19.0,18.0,78.9,198.8,0.000213,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
20.0,19.0,66.6,202.7,0.000166,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
21.0,20.0,56.5,206.7,0.000138,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
22.0,21.0,48.0,210.7,0.000118,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
23.0,22.0,40.9,214.6,0.000104,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
24.0,23.0,35.0,217.0,9.11e-05,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
25.0,24.0,30.0,219.2,8.53e-05,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
26.0,25.0,25.7,221.4,7.35e-05,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
27.0,30.0,12.2,232.3,4.09e-05,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
28.0,35.0,6.0,243.1,2.21e-05,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
29.0,40.0,3.05,254.0,1.22e-05,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
30.0,45.0,1.59,264.8,6.67e-06,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
31.0,50.0,0.854,270.2,3.69e-06,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
32.0,70.0,0.058,218.9,2.32e-07,0.0,0.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
33.0,100.0,0.0,190.7,1.18e-10,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0
