i,z,p,t,cntmfrn,hno3,aerosol_1,aerosol_2,aerosol_3,aerosol_4,aer1*rh,cirrus,rh
1.0,0.0,1013.0,299.7,5.505e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.98
2.0,1.0,904.0,293.7,3.452e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5
3.0,2.0,805.0,287.7,2.254e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.06
4.0,3.0,715.0,283.7,1.031e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.43
5.0,4.0,633.0,277.0,4.395e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.42
6.0,5.0,559.0,270.3,2.715e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.94
7.0,6.0,492.0,263.6,1.39e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.31
8.0,7.0,432.0,257.0,6.922e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.78
9.0,8.0,378.0,250.3,3.312e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.52
10.0,9.0,329.0,243.6,1.422e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.82
11.0,10.0,286.0,237.0,5.297e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.56
12.0,11.0,247.0,230.1,1.602e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83
13.0,12.0,213.0,223.6,5.016e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.328
14.0,13.0,182.0,217.0,1.325e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293
15.0,14.0,156.0,210.3,6.512e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.669
16.0,15.0,132.0,203.7,3.196e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.931
17.0,16.0,111.0,197.0,1.812e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.09
18.0,17.0,93.7,194.8,1.277e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.31
19.0,18.0,78.9,198.8,8.242e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.489
20.0,19.0,66.6,202.7,5.341e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.377
21.0,20.0,56.5,206.7,3.696e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.637
22.0,21.0,48.0,210.7,2.617e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8296
23.0,22.0,40.9,214.6,1.935e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453
24.0,23.0,35.0,217.0,1.435e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2982
25.0,24.0,30.0,219.2,1.141e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2161
26.0,25.0,25.7,221.4,8333000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145
27.0,30.0,12.2,232.3,2099000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02535
28.0,35.0,6.0,243.1,533200000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004896
29.0,40.0,3.05,254.0,142700000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001056
30.0,45.0,1.59,264.8,39100000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002499
31.0,50.0,0.854,270.2,11400000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.368e-05
32.0,70.0,0.058,218.9,60110000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000609
33.0,100.0,0.0,190.7,174800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.424e-05
