freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
2.0,4999.998,9.42e-10,3.77e-13,2.5e-10,1e-13,0.0,0.0,1.19e-09,4.77e-13,1.19e-09,0.23975
4.0,2500.0,3.39e-09,5.42e-12,5.87e-10,9.39e-13,0.0,0.0,3.97e-09,6.36e-12,9.14e-09,0.16014
6.0,1666.666,8.05e-09,2.9e-11,4.62e-10,1.66e-12,0.0,0.0,8.51e-09,3.06e-11,2.62e-08,0.06961
8.0,1250.0,1.45e-08,9.29e-11,2.98e-10,1.91e-12,0.0,0.0,1.48e-08,9.48e-11,5.58e-08,0.02155
10.0,1000.0,2.22e-08,2.22e-10,1.01e-10,1.01e-12,0.0,0.0,2.23e-08,2.23e-10,1e-07,0.00587
12.0,833.333,3.06e-08,4.41e-10,2e-12,2.88e-14,0.0,0.0,3.06e-08,4.41e-10,1.62e-07,8e-05
14.0,714.286,4.02e-08,7.87e-10,4.81e-16,9.42e-18,0.0,0.0,4.02e-08,7.87e-10,2.42e-07,0.0
16.0,625.0,5.11e-08,1.31e-09,8.69e-20,2.22e-21,0.0,0.0,5.11e-08,1.31e-09,3.44e-07,0.0
18.0,555.555,6.15e-08,1.99e-09,1.41e-18,4.56e-20,0.0,0.0,6.15e-08,1.99e-09,4.67e-07,0.0
20.0,500.0,7.68e-08,3.07e-09,1.41e-18,5.63e-20,0.0,0.0,7.68e-08,3.07e-09,6.21e-07,0.0
22.0,454.545,9.59e-08,4.64e-09,1.93e-30,9.34e-32,0.0,0.0,9.59e-08,4.64e-09,8.13e-07,0.0
24.0,416.667,1.09e-07,6.28e-09,3.53e-28,2.03e-29,0.0,0.0,1.09e-07,6.28e-09,1.03e-06,0.0
26.0,384.615,1.26e-07,8.51e-09,3.52e-28,2.38e-29,0.0,0.0,1.26e-07,8.51e-09,1.28e-06,0.0
28.0,357.143,1.51e-07,1.19e-08,1.72e-35,1.35e-36,0.0,0.0,1.51e-07,1.19e-08,1.59e-06,0.0
30.0,333.333,1.71e-07,1.54e-08,9.52e-36,8.57e-37,0.0,0.0,1.71e-07,1.54e-08,1.93e-06,0.0
32.0,312.5,1.86e-07,1.9e-08,0.0,0.0,0.0,0.0,1.86e-07,1.9e-08,2.3e-06,0.0
34.0,294.118,2.07e-07,2.39e-08,0.0,0.0,0.0,0.0,2.07e-07,2.39e-08,2.71e-06,0.0
